"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"4";"con_T_LEFT";"default";"approved";"340.16";"179.35";"1192.0";"871.0";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"2";"19";"con_T_LEFT";"default";"approved";"374.17";"270.06";"1192.0";"871.0";"13";"23";"= 411";"+ 400A";"forming machine A";"transverse belt";"411M17"
"3";"19";"con_T_LEFT";"default";"approved";"351.5";"281.39";"1192.0";"871.0";"13";"23";"= 411";"+ 400A";"forming machine A";"transverse belt";"411M17"
"4";"19";"con_T_LEFT";"default";"approved";"328.82";"292.73";"1192.0";"871.0";"13";"23";"= 411";"+ 400A";"forming machine A";"transverse belt";"411M17"
"5";"20";"con_T_LEFT";"default";"approved";"975.12";"156.67";"1192.0";"871.0";"13a";"23";"= 411";"+ 400A";"forming machine A";"transverse belt";"411M17"
"6";"22";"con_T_LEFT";"default";"approved";"430.87";"553.52";"1192.0";"871.0";"15";"23";"= 411";"+ 400A";"forming machine A";"pinned roll";"411M20"
"7";"38";"con_T_LEFT";"default";"pending";"374.17";"270.06";"1192.0";"871.0";"30";"17";"= 413";"+ 400A";"forming machine B";"transverse belt";"413M17"
"8";"38";"con_T_LEFT";"default";"pending";"351.5";"281.39";"1192.0";"871.0";"30";"17";"= 413";"+ 400A";"forming machine B";"transverse belt";"413M17"
"9";"38";"con_T_LEFT";"default";"pending";"328.82";"292.73";"1192.0";"871.0";"30";"17";"= 413";"+ 400A";"forming machine B";"transverse belt";"413M17"
"10";"38";"con_T_LEFT";"default";"pending";"839.06";"598.87";"1192.0";"871.0";"30";"17";"= 413";"+ 400A";"forming machine B";"transverse belt";"413M17"
"11";"39";"con_T_LEFT";"default";"pending";"975.12";"156.67";"1192.0";"871.0";"30a";"17";"= 413";"+ 400A";"forming machine B";"transverse belt";"413M17"
"12";"40";"con_T_LEFT";"default";"pending";"430.87";"553.52";"1192.0";"871.0";"31";"17";"= 413";"+ 400A";"forming machine B";"fast disk rolls";"413M20"
"13";"49";"con_T_LEFT";"default";"pending";"374.17";"270.06";"1192.0";"871.0";"41";"3";"= 416";"+ 400A";"equelizing rolls";"height adjustment";"416M3"
"14";"49";"con_T_LEFT";"default";"pending";"351.5";"281.39";"1192.0";"871.0";"41";"3";"= 416";"+ 400A";"equelizing rolls";"height adjustment";"416M3"
"15";"49";"con_T_LEFT";"default";"pending";"328.82";"292.73";"1192.0";"871.0";"41";"3";"= 416";"+ 400A";"equelizing rolls";"height adjustment";"416M3"
"16";"49";"con_T_LEFT";"default";"pending";"1065.83";"156.67";"1192.0";"871.0";"41";"3";"= 416";"+ 400A";"equelizing rolls";"height adjustment";"416M3"
"17";"60";"con_T_LEFT";"default";"pending";"374.17";"270.06";"1192.0";"871.0";"52";"26";"= 418";"+ 400A";"forming machine D";"transverse belt";"418M17"
"18";"60";"con_T_LEFT";"default";"pending";"351.5";"281.39";"1192.0";"871.0";"52";"26";"= 418";"+ 400A";"forming machine D";"transverse belt";"418M17"
"19";"60";"con_T_LEFT";"default";"pending";"328.82";"292.73";"1192.0";"871.0";"52";"26";"= 418";"+ 400A";"forming machine D";"transverse belt";"418M17"
"20";"60";"con_T_LEFT";"default";"pending";"839.06";"598.87";"1192.0";"871.0";"52";"26";"= 418";"+ 400A";"forming machine D";"transverse belt";"418M17"
"21";"61";"con_T_LEFT";"default";"pending";"975.12";"156.67";"1192.0";"871.0";"52a";"26";"= 418";"+ 400A";"forming machine D";"transverse belt";"418M17"
"22";"63";"con_T_LEFT";"default";"pending";"430.87";"553.52";"1192.0";"871.0";"54";"26";"= 418";"+ 400A";"forming machine D";"fast disk rolls";"418M20"
"23";"109";"con_T_LEFT";"default";"pending";"1031.81";"179.35";"1192.0";"871.0";"89";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 1 - 8 right";"427M301"
"24";"109";"con_T_LEFT";"default";"pending";"351.5";"270.06";"1192.0";"871.0";"89";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 1 - 8 right";"427M301"
"25";"109";"con_T_LEFT";"default";"pending";"328.82";"281.39";"1192.0";"871.0";"89";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 1 - 8 right";"427M301"
"26";"109";"con_T_LEFT";"default";"pending";"306.14";"292.73";"1192.0";"871.0";"89";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 1 - 8 right";"427M301"
"27";"110";"con_T_LEFT";"default";"pending";"1031.81";"179.35";"1192.0";"871.0";"90";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 1 - 8 left";"427M302"
"28";"110";"con_T_LEFT";"default";"pending";"351.5";"270.06";"1192.0";"871.0";"90";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 1 - 8 left";"427M302"
"29";"110";"con_T_LEFT";"default";"pending";"328.82";"281.39";"1192.0";"871.0";"90";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 1 - 8 left";"427M302"
"30";"110";"con_T_LEFT";"default";"pending";"306.14";"292.73";"1192.0";"871.0";"90";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 1 - 8 left";"427M302"
"31";"111";"con_T_LEFT";"default";"pending";"1031.81";"179.35";"1192.0";"871.0";"91";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 9 - 16 right";"427M303"
"32";"111";"con_T_LEFT";"default";"pending";"351.5";"270.06";"1192.0";"871.0";"91";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 9 - 16 right";"427M303"
"33";"111";"con_T_LEFT";"default";"pending";"328.82";"281.39";"1192.0";"871.0";"91";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 9 - 16 right";"427M303"
"34";"111";"con_T_LEFT";"default";"pending";"306.14";"292.73";"1192.0";"871.0";"91";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 9 - 16 right";"427M303"
"35";"112";"con_T_LEFT";"default";"pending";"1031.81";"179.35";"1192.0";"871.0";"92";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 9 - 16 left";"427M304"
"36";"112";"con_T_LEFT";"default";"pending";"351.5";"270.06";"1192.0";"871.0";"92";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 9 - 16 left";"427M304"
"37";"112";"con_T_LEFT";"default";"pending";"328.82";"281.39";"1192.0";"871.0";"92";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 9 - 16 left";"427M304"
"38";"112";"con_T_LEFT";"default";"pending";"306.14";"292.73";"1192.0";"871.0";"92";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 9 - 16 left";"427M304"
"39";"113";"con_T_LEFT";"default";"pending";"1031.81";"179.35";"1192.0";"871.0";"93";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 17 - 24 right";"427M305"
"40";"113";"con_T_LEFT";"default";"pending";"351.5";"270.06";"1192.0";"871.0";"93";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 17 - 24 right";"427M305"
"41";"113";"con_T_LEFT";"default";"pending";"328.82";"281.39";"1192.0";"871.0";"93";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 17 - 24 right";"427M305"
"42";"113";"con_T_LEFT";"default";"pending";"306.14";"292.73";"1192.0";"871.0";"93";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 17 - 24 right";"427M305"
"43";"114";"con_T_LEFT";"default";"pending";"1031.81";"179.35";"1192.0";"871.0";"94";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 17 - 24 left";"427M306"
"44";"114";"con_T_LEFT";"default";"pending";"351.5";"270.06";"1192.0";"871.0";"94";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 17 - 24 left";"427M306"
"45";"114";"con_T_LEFT";"default";"pending";"328.82";"281.39";"1192.0";"871.0";"94";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 17 - 24 left";"427M306"
"46";"114";"con_T_LEFT";"default";"pending";"306.14";"292.73";"1192.0";"871.0";"94";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 17 - 24 left";"427M306"
"47";"115";"con_T_LEFT";"default";"pending";"1031.81";"179.35";"1192.0";"871.0";"94a";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 25 - 33 right";"427M307"
"48";"115";"con_T_LEFT";"default";"pending";"351.5";"270.06";"1192.0";"871.0";"94a";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 25 - 33 right";"427M307"
"49";"115";"con_T_LEFT";"default";"pending";"328.82";"281.39";"1192.0";"871.0";"94a";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 25 - 33 right";"427M307"
"50";"115";"con_T_LEFT";"default";"pending";"306.14";"292.73";"1192.0";"871.0";"94a";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 25 - 33 right";"427M307"
"51";"116";"con_T_LEFT";"default";"pending";"1031.81";"179.35";"1192.0";"871.0";"94b";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 25 - 33 left";"427M308"
"52";"116";"con_T_LEFT";"default";"pending";"351.5";"270.06";"1192.0";"871.0";"94b";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 25 - 33 left";"427M308"
"53";"116";"con_T_LEFT";"default";"pending";"328.82";"281.39";"1192.0";"871.0";"94b";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 25 - 33 left";"427M308"
"54";"116";"con_T_LEFT";"default";"pending";"306.14";"292.73";"1192.0";"871.0";"94b";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 25 - 33 left";"427M308"
"55";"118";"con_T_LEFT";"default";"pending";"419.53";"298.4";"1192.0";"871.0";"95";"4";"= 442";"+ 400A";"trim saw";"right hand side in front
spare";"442M1"
"56";"119";"con_T_LEFT";"default";"pending";"419.53";"298.4";"1192.0";"871.0";"96";"4";"= 442";"+ 400A";"trim saw";"right hand side at rear
spare";"442M2"
"57";"120";"con_T_LEFT";"default";"pending";"419.53";"298.4";"1192.0";"871.0";"97";"4";"= 442";"+ 400A";"trim saw";"left hand side in front
spare";"442M3"
"58";"121";"con_T_LEFT";"default";"pending";"419.53";"298.4";"1192.0";"871.0";"98";"4";"= 442";"+ 400A";"trim saw";"left hand side at rear
spare";"442M4"
"59";"128";"con_T_LEFT";"default";"pending";"623.62";"542.18";"1192.0";"871.0";"100";"21";"= 414";"+ 400H10";"forming machine C";"pinned roll";"414M3"
"60";"129";"con_T_LEFT";"default";"pending";"294.8";"258.72";"1192.0";"871.0";"101";"21";"= 414";"+ 400H10";"forming machine C";"pinned roll";"414M3"
"61";"129";"con_T_LEFT";"default";"pending";"442.2";"428.8";"1192.0";"871.0";"101";"21";"= 414";"+ 400H10";"forming machine C";"pinned roll";"414M3"
"62";"130";"con_T_LEFT";"default";"pending";"668.98";"598.87";"1192.0";"871.0";"103";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M5, 414M6"
"63";"130";"con_T_LEFT";"default";"pending";"873.07";"598.87";"1192.0";"871.0";"103";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M5, 414M6"
"64";"131";"con_T_LEFT";"default";"pending";"294.8";"258.72";"1192.0";"871.0";"104";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M5, 414M6"
"65";"131";"con_T_LEFT";"default";"pending";"442.2";"428.8";"1192.0";"871.0";"104";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M5, 414M6"
"66";"132";"con_T_LEFT";"default";"pending";"668.98";"598.87";"1192.0";"871.0";"106";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"67";"132";"con_T_LEFT";"default";"pending";"873.07";"598.87";"1192.0";"871.0";"106";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"68";"133";"con_T_LEFT";"default";"pending";"294.8";"258.72";"1192.0";"871.0";"107";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"69";"133";"con_T_LEFT";"default";"pending";"442.2";"428.8";"1192.0";"871.0";"107";"21";"= 414";"+ 400H10";"forming machine C";"cage type roller conveyor";"414M7, 414M8"
"70";"136";"con_T_LEFT";"default";"pending";"430.87";"553.52";"1192.0";"871.0";"111";"21";"= 414";"+ 400H10";"forming machine C";"pinned roll";"414M13"
"71";"139";"con_T_LEFT";"default";"pending";"374.17";"270.06";"1192.0";"871.0";"114";"21";"= 414";"+ 400H10";"forming machine C";"transverse belt";"414M17"
"72";"139";"con_T_LEFT";"default";"pending";"351.5";"281.39";"1192.0";"871.0";"114";"21";"= 414";"+ 400H10";"forming machine C";"transverse belt";"414M17"
"73";"139";"con_T_LEFT";"default";"pending";"328.82";"292.73";"1192.0";"871.0";"114";"21";"= 414";"+ 400H10";"forming machine C";"transverse belt";"414M17"
"74";"139";"con_T_LEFT";"default";"pending";"850.39";"587.54";"1192.0";"871.0";"114";"21";"= 414";"+ 400H10";"forming machine C";"transverse belt";"414M17"
"75";"140";"con_T_LEFT";"default";"pending";"975.12";"156.67";"1192.0";"871.0";"115";"21";"= 414";"+ 400H10";"forming machine C";"transverse belt";"414M17"
"76";"141";"con_T_LEFT";"default";"pending";"430.87";"553.52";"1192.0";"871.0";"116";"21";"= 414";"+ 400H10";"forming machine C";"fast disks rolls";"414M20"
