"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"4";"con_T_UP";"default";"approved";"544.25";"785.96";"1192.0";"871.0";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"2";"4";"con_T_UP";"default";"approved";"623.62";"785.96";"1192.0";"871.0";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"3";"4";"con_T_UP";"default";"approved";"702.99";"785.96";"1192.0";"871.0";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"4";"4";"con_T_UP";"default";"approved";"782.36";"785.96";"1192.0";"871.0";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"5";"4";"con_T_UP";"default";"approved";"861.73";"785.96";"1192.0";"871.0";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"6";"4";"con_T_UP";"default";"approved";"941.1";"785.96";"1192.0";"871.0";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"7";"4";"con_T_UP";"default";"approved";"1020.47";"785.96";"1192.0";"871.0";"1";"8";"= 400";"+ 400A";"";"infeed group 400A";""
"8";"20";"con_T_UP";"default";"approved";"181.42";"672.57";"1192.0";"871.0";"13a";"23";"= 411";"+ 400A";"forming machine A";"transverse belt";"411M17"
"9";"20";"con_T_UP";"default";"approved";"294.8";"672.57";"1192.0";"871.0";"13a";"23";"= 411";"+ 400A";"forming machine A";"transverse belt";"411M17"
"10";"20";"con_T_UP";"default";"approved";"408.19";"672.57";"1192.0";"871.0";"13a";"23";"= 411";"+ 400A";"forming machine A";"transverse belt";"411M17"
"11";"20";"con_T_UP";"default";"approved";"521.57";"672.57";"1192.0";"871.0";"13a";"23";"= 411";"+ 400A";"forming machine A";"transverse belt";"411M17"
"12";"20";"con_T_UP";"default";"approved";"634.96";"672.57";"1192.0";"871.0";"13a";"23";"= 411";"+ 400A";"forming machine A";"transverse belt";"411M17"
"13";"21";"con_T_UP";"default";"approved";"725.67";"706.59";"1192.0";"871.0";"14";"23";"= 411";"+ 400A";"forming machine A";"2nd & 3rd screen vibrator";"411M18, 411M19"
"14";"39";"con_T_UP";"default";"pending";"181.42";"672.57";"1192.0";"871.0";"30a";"17";"= 413";"+ 400A";"forming machine B";"transverse belt";"413M17"
"15";"39";"con_T_UP";"default";"pending";"294.8";"672.57";"1192.0";"871.0";"30a";"17";"= 413";"+ 400A";"forming machine B";"transverse belt";"413M17"
"16";"39";"con_T_UP";"default";"pending";"408.19";"672.57";"1192.0";"871.0";"30a";"17";"= 413";"+ 400A";"forming machine B";"transverse belt";"413M17"
"17";"39";"con_T_UP";"default";"pending";"521.57";"672.57";"1192.0";"871.0";"30a";"17";"= 413";"+ 400A";"forming machine B";"transverse belt";"413M17"
"18";"39";"con_T_UP";"default";"pending";"634.96";"672.57";"1192.0";"871.0";"30a";"17";"= 413";"+ 400A";"forming machine B";"transverse belt";"413M17"
"19";"49";"con_T_UP";"default";"pending";"521.57";"672.57";"1192.0";"871.0";"41";"3";"= 416";"+ 400A";"equelizing rolls";"height adjustment";"416M3"
"20";"49";"con_T_UP";"default";"pending";"612.28";"672.57";"1192.0";"871.0";"41";"3";"= 416";"+ 400A";"equelizing rolls";"height adjustment";"416M3"
"21";"49";"con_T_UP";"default";"pending";"702.99";"672.57";"1192.0";"871.0";"41";"3";"= 416";"+ 400A";"equelizing rolls";"height adjustment";"416M3"
"22";"49";"con_T_UP";"default";"pending";"793.7";"672.57";"1192.0";"871.0";"41";"3";"= 416";"+ 400A";"equelizing rolls";"height adjustment";"416M3"
"23";"50";"con_T_UP";"default";"pending";"725.67";"706.59";"1192.0";"871.0";"42";"3";"= 416";"+ 400A";"";"width adjustment side traverse rolls";"416M6"
"24";"50";"con_T_UP";"default";"pending";"612.28";"706.59";"1192.0";"871.0";"42";"3";"= 416";"+ 400A";"";"width adjustment side traverse rolls";"416M6"
"25";"51";"con_T_UP";"default";"pending";"725.67";"706.59";"1192.0";"871.0";"43";"3";"= 416";"+ 400A";"";"width adjustment equalizing rolls";"416M25"
"26";"51";"con_T_UP";"default";"pending";"612.28";"706.59";"1192.0";"871.0";"43";"3";"= 416";"+ 400A";"";"width adjustment equalizing rolls";"416M25"
"27";"61";"con_T_UP";"default";"pending";"181.42";"672.57";"1192.0";"871.0";"52a";"26";"= 418";"+ 400A";"forming machine D";"transverse belt";"418M17"
"28";"61";"con_T_UP";"default";"pending";"294.8";"672.57";"1192.0";"871.0";"52a";"26";"= 418";"+ 400A";"forming machine D";"transverse belt";"418M17"
"29";"61";"con_T_UP";"default";"pending";"408.19";"672.57";"1192.0";"871.0";"52a";"26";"= 418";"+ 400A";"forming machine D";"transverse belt";"418M17"
"30";"61";"con_T_UP";"default";"pending";"578.27";"672.57";"1192.0";"871.0";"52a";"26";"= 418";"+ 400A";"forming machine D";"transverse belt";"418M17"
"31";"61";"con_T_UP";"default";"pending";"691.65";"672.57";"1192.0";"871.0";"52a";"26";"= 418";"+ 400A";"forming machine D";"transverse belt";"418M17"
"32";"62";"con_T_UP";"default";"pending";"725.67";"706.59";"1192.0";"871.0";"53";"26";"= 418";"+ 400A";"forming machine D";"2nd & 3rd screen vibrator";"418M18, 418M19"
"33";"70";"con_T_UP";"default";"pending";"181.42";"672.57";"1192.0";"871.0";"59b";"26";"= 418";"+ 400A";"";"TEXPAN filter fan";"418M4"
"34";"70";"con_T_UP";"default";"pending";"408.19";"672.57";"1192.0";"871.0";"59b";"26";"= 418";"+ 400A";"";"TEXPAN filter fan";"418M4"
"35";"70";"con_T_UP";"default";"pending";"521.57";"672.57";"1192.0";"871.0";"59b";"26";"= 418";"+ 400A";"";"TEXPAN filter fan";"418M4"
"36";"70";"con_T_UP";"default";"pending";"294.8";"672.57";"1192.0";"871.0";"59b";"26";"= 418";"+ 400A";"";"TEXPAN filter fan";"418M4"
"37";"77";"con_T_UP";"default";"pending";"873.07";"706.59";"1192.0";"871.0";"64";"5";"= 420";"+ 400A";"forming line";"forming belt
belt adjustment";"420M1"
"38";"77";"con_T_UP";"default";"pending";"725.67";"706.59";"1192.0";"871.0";"64";"5";"= 420";"+ 400A";"forming line";"forming belt
belt adjustment";"420M1"
"39";"78";"con_T_UP";"default";"pending";"725.67";"706.59";"1192.0";"871.0";"65";"5";"= 420";"+ 400A";"forming line";"hogger drive";"420M3"
"40";"79";"con_T_UP";"default";"pending";"725.67";"706.59";"1192.0";"871.0";"66";"5";"= 420";"+ 400A";"forming line";"hogger drive";"420M4"
"41";"87";"con_T_UP";"default";"pending";"714.33";"706.59";"1192.0";"871.0";"71c";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 1 - 2 - 3 421M";"3, 421M4, 421M5"
