"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"pin_1";"pin_2";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"11";"contact_power_3";"A";"approved";"215.44";"338.08";"1192.0";"871.0";"";"5";"6";"5";"23";"= 411";"+ 400A";"forming machine A";"left fan";"411M0"
"2";"12";"contact_power_3";"A";"approved";"215.44";"338.08";"1192.0";"871.0";"";"5";"6";"6";"23";"= 411";"+ 400A";"forming machine A";"right fan";"411M1"
"3";"13";"contact_power_3";"A";"approved";"215.44";"338.08";"1192.0";"871.0";"";"5";"6";"7";"23";"= 411";"+ 400A";"forming machine A";"dosing belt cleaning brush";"411M10"
"4";"14";"contact_power_3";"A";"approved";"215.44";"338.08";"1192.0";"871.0";"";"5";"6";"8";"23";"= 411";"+ 400A";"forming machine A";"rotary combs";"411M11"
"5";"15";"contact_power_3";"A";"approved";"215.44";"338.08";"1192.0";"871.0";"";"5";"6";"9";"23";"= 411";"+ 400A";"forming machine A";"pinned roll";"411M13"
"6";"16";"contact_power_3";"A";"approved";"215.44";"338.08";"1192.0";"871.0";"";"5";"6";"10";"23";"= 411";"+ 400A";"forming machine A";"oscillating flap";"411M14"
"7";"17";"contact_power_3";"A";"approved";"215.44";"338.08";"1192.0";"871.0";"";"5";"6";"11";"23";"= 411";"+ 400A";"forming machine A";"distrbution belt left";"411M15"
"8";"18";"contact_power_3";"A";"approved";"215.44";"338.08";"1192.0";"871.0";"";"5";"6";"12";"23";"= 411";"+ 400A";"forming machine A";"distrbution belt right";"411M16"
"9";"19";"contact_power_3";"A";"approved";"215.44";"236.03";"1192.0";"871.0";"";"5";"6";"13";"23";"= 411";"+ 400A";"forming machine A";"transverse belt";"411M17"
"10";"19";"contact_power_3";"A";"approved";"374.18";"236.03";"1192.0";"871.0";"";"5";"6";"13";"23";"= 411";"+ 400A";"forming machine A";"transverse belt";"411M17"
"11";"19";"contact_power_3";"A";"approved";"215.44";"326.74";"1192.0";"871.0";"";"5";"6";"13";"23";"= 411";"+ 400A";"forming machine A";"transverse belt";"411M17"
"12";"19";"contact_power_3";"A";"approved";"374.18";"326.74";"1192.0";"871.0";"";"5";"6";"13";"23";"= 411";"+ 400A";"forming machine A";"transverse belt";"411M17"
"13";"21";"contact_power_3";"A";"approved";"215.44";"338.08";"1192.0";"871.0";"";"5";"6";"14";"23";"= 411";"+ 400A";"forming machine A";"2nd & 3rd screen vibrator";"411M18, 411M19"
"14";"21";"contact_power_3";"A";"approved";"430.88";"338.08";"1192.0";"871.0";"";"5";"6";"14";"23";"= 411";"+ 400A";"forming machine A";"2nd & 3rd screen vibrator";"411M18, 411M19"
"15";"22";"contact_power_3";"A";"approved";"215.44";"338.08";"1192.0";"871.0";"";"5";"6";"15";"23";"= 411";"+ 400A";"forming machine A";"pinned roll";"411M20"
"16";"23";"contact_power_3";"A";"pending";"215.44";"338.08";"1192.0";"871.0";"";"5";"6";"16";"23";"= 411";"+ 400A";"forming machine A";"slow disk rolls";"411M21"
"17";"24";"contact_power_3";"A";"pending";"215.44";"338.08";"1192.0";"871.0";"";"5";"6";"17";"23";"= 411";"+ 400A";"forming machine A";"disk screen transport belt";"411M22"
"18";"25";"contact_power_3";"A";"pending";"215.44";"338.08";"1192.0";"871.0";"";"5";"6";"18";"23";"= 411";"+ 400A";"forming machine A";"left longitudinal screw conveyor";"411M23"
"19";"26";"contact_power_3";"A";"pending";"215.44";"338.08";"1192.0";"871.0";"";"5";"6";"19";"23";"= 411";"+ 400A";"forming machine A";"right longitudinal screw conveyor";"411M24"
"20";"27";"contact_power_3";"A";"pending";"215.44";"338.08";"1192.0";"871.0";"";"5";"6";"20";"23";"= 411";"+ 400A";"forming machine A";"cleaning brush transport belt";"411M26"
