"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"pin_1";"pin_2";"pin_3";"link";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"15";"contact_signal_CO_1";"C";"approved";"725.67";"508.17";"1192.0";"871.0";"-F13";"96";"95";"98";"/9.2";"9";"23";"= 411";"+ 400A";"forming machine A";"pinned roll";"411M13"
"2";"20";"contact_signal_CO_1";"C";"approved";"181.41";"564.86";"1192.0";"871.0";"-F17.1";"96";"95";"98";"/13.6";"13a";"23";"= 411";"+ 400A";"forming machine A";"transverse belt";"411M17"
"3";"22";"contact_signal_CO_1";"C";"approved";"725.67";"508.17";"1192.0";"871.0";"-F20";"96";"95";"98";"/15.2";"15";"23";"= 411";"+ 400A";"forming machine A";"pinned roll";"411M20"
"4";"35";"contact_signal_CO_1";"C";"pending";"725.67";"508.17";"1192.0";"871.0";"-F13";"96";"95";"98";"/27.2";"27";"17";"= 413";"+ 400A";"forming machine B";"pinned roll";"413M13"
"5";"39";"contact_signal_CO_1";"C";"pending";"181.42";"564.86";"1192.0";"871.0";"-F17.1";"96";"95";"98";"/30.6";"30a";"17";"= 413";"+ 400A";"forming machine B";"transverse belt";"413M17"
"6";"40";"contact_signal_CO_1";"C";"pending";"725.67";"508.17";"1192.0";"871.0";"-F20";"96";"95";"98";"/31.2";"31";"17";"= 413";"+ 400A";"forming machine B";"fast disk rolls";"413M20"
"7";"56";"contact_signal_CO_1";"C";"pending";"725.67";"508.17";"1192.0";"871.0";"-F13";"96";"95";"98";"/48.2";"48";"26";"= 418";"+ 400A";"forming machine D";"pinned roll";"418M13"
"8";"61";"contact_signal_CO_1";"C";"pending";"181.42";"564.86";"1192.0";"871.0";"-F17.1";"96";"95";"98";"/52.6";"52a";"26";"= 418";"+ 400A";"forming machine D";"transverse belt";"418M17"
"9";"63";"contact_signal_CO_1";"C";"pending";"725.67";"508.17";"1192.0";"871.0";"-F20";"96";"95";"98";"/54.2";"54";"26";"= 418";"+ 400A";"forming machine D";"fast disk rolls";"418M20"
"10";"82";"contact_signal_CO_1";"C";"pending";"702.99";"519.5";"1192.0";"871.0";"-F1.1";"96";"95";"98";"";"69";"7";"= 421";"+ 400A";"pre - press";"hydraulics
HP - pump";"421M1"
"11";"87";"contact_signal_CO_1";"C";"pending";"589.61";"360.76";"1192.0";"871.0";"-F3";"96";"95";"98";"/71.3";"71c";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 1 - 2 - 3 421M";"3, 421M4, 421M5"
"12";"87";"contact_signal_CO_1";"C";"pending";"589.61";"542.18";"1192.0";"871.0";"-F5";"96";"95";"98";"/71b.3";"71c";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 1 - 2 - 3 421M";"3, 421M4, 421M5"
"13";"94";"contact_signal_CO_1";"C";"pending";"873.07";"508.17";"1192.0";"871.0";"-F4";"96";"95";"98";"/76.3";"76a";"29";"= 427";"+ 400A";"press";"upper cleaning brush 2";"427M5"
