"ID";"PagePDF";"Template_Name";"Variant";"Status";"Pos_X";"Pos_Y";"Page_W";"Page_H";"Name";"link";"pin_1";"pin_2";"pin_3";"pg_S1_Page";"pg_S1_Sheets";"pg_S1_=";"pg_S1_+";"pg_S1_txt_1";"pg_S1_txt_2";"pg_S1_txt_3"
"1";"15";"contact_signal_CO_2";"B";"approved";"444.33";"335.25";"1192.0";"871.0";"";"/9.6";"96";"95";"98";"9";"23";"= 411";"+ 400A";"forming machine A";"pinned roll";"411M13"
"2";"19";"contact_signal_CO_2";"B";"approved";"852.52";"323.92";"1192.0";"871.0";"";"/13a.1";"96";"95";"98";"13";"23";"= 411";"+ 400A";"forming machine A";"transverse belt";"411M17"
"3";"22";"contact_signal_CO_2";"B";"approved";"444.33";"335.25";"1192.0";"871.0";"";"/15.6";"96";"95";"98";"15";"23";"= 411";"+ 400A";"forming machine A";"pinned roll";"411M20"
"4";"35";"contact_signal_CO_2";"B";"pending";"444.33";"335.25";"1192.0";"871.0";"";"/27.6";"96";"95";"98";"27";"17";"= 413";"+ 400A";"forming machine B";"pinned roll";"413M13"
"5";"38";"contact_signal_CO_2";"B";"pending";"852.52";"323.92";"1192.0";"871.0";"";"/30a.1";"96";"95";"98";"30";"17";"= 413";"+ 400A";"forming machine B";"transverse belt";"413M17"
"6";"40";"contact_signal_CO_2";"B";"pending";"444.33";"335.25";"1192.0";"871.0";"";"/31.6";"96";"95";"98";"31";"17";"= 413";"+ 400A";"forming machine B";"fast disk rolls";"413M20"
"7";"56";"contact_signal_CO_2";"B";"pending";"444.33";"335.25";"1192.0";"871.0";"";"/48.6";"96";"95";"98";"48";"26";"= 418";"+ 400A";"forming machine D";"pinned roll";"418M13"
"8";"60";"contact_signal_CO_2";"B";"pending";"852.52";"323.92";"1192.0";"871.0";"";"/52a.1";"96";"95";"98";"52";"26";"= 418";"+ 400A";"forming machine D";"transverse belt";"418M17"
"9";"63";"contact_signal_CO_2";"B";"pending";"444.33";"335.25";"1192.0";"871.0";"";"/54.6";"96";"95";"98";"54";"26";"= 418";"+ 400A";"forming machine D";"fast disk rolls";"418M20"
"10";"82";"contact_signal_CO_2";"B";"pending";"489.69";"346.59";"1192.0";"871.0";"";"/69.5";"96";"95";"98";"69";"7";"= 421";"+ 400A";"pre - press";"hydraulics
HP - pump";"421M1"
"11";"82";"contact_signal_CO_2";"B";"pending";"250.16";"326.75";"1192.0";"871.0";"";"69.5";"96";"95";"98";"69";"7";"= 421";"+ 400A";"pre - press";"hydraulics
HP - pump";"421M1"
"12";"84";"contact_signal_CO_2";"B";"pending";"523.7";"187.85";"1192.0";"871.0";"";"/71c.4";"96";"95";"98";"71";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 1";"421M3"
"13";"85";"contact_signal_CO_2";"B";"pending";"523.7";"187.85";"1192.0";"871.0";"";"/71c.4";"96";"95";"98";"71a";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 2";"421M4"
"14";"86";"contact_signal_CO_2";"B";"pending";"523.7";"187.85";"1192.0";"871.0";"";"/71c.4";"96";"95";"98";"71b";"7";"= 421";"+ 400A";"pre - press";"cleaning brush 3";"421M5"
"15";"93";"contact_signal_CO_2";"B";"pending";"501.02";"403.29";"1192.0";"871.0";"";"/76a.7";"96";"95";"98";"76";"29";"= 427";"+ 400A";"press";"upper cleaning brush 1";"427M4"
"16";"94";"contact_signal_CO_2";"B";"pending";"501.02";"403.29";"1192.0";"871.0";"";"/76a.7";"96";"95";"98";"76a";"29";"= 427";"+ 400A";"press";"upper cleaning brush 2";"427M5"
"17";"109";"contact_signal_CO_2";"B";"pending";"569.06";"369.27";"1192.0";"871.0";"";"/89.5";"96";"95";"98";"89";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 1 - 8 right";"427M301"
"18";"110";"contact_signal_CO_2";"B";"pending";"569.06";"369.27";"1192.0";"871.0";"";"/90.5";"96";"95";"98";"90";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 1 - 8 left";"427M302"
"19";"111";"contact_signal_CO_2";"B";"pending";"569.06";"369.27";"1192.0";"871.0";"";"/91.5";"96";"95";"98";"91";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 9 - 16 right";"427M303"
"20";"112";"contact_signal_CO_2";"B";"pending";"569.06";"369.27";"1192.0";"871.0";"";"/92.5";"96";"95";"98";"92";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 9 - 16 left";"427M304"
"21";"113";"contact_signal_CO_2";"B";"pending";"569.06";"369.27";"1192.0";"871.0";"";"/93.5";"96";"95";"98";"93";"29";"= 427";"+ 400A";"press";"stop bar adjustment frame 17 - 24 right";"427M305"
